Date,VTI,VEA,BND,BNDX
2009-04-22,42.400001525878906,24.450000762939453,77.20999908447266,
2009-04-23,42.70000076293945,25.079999923706055,77.2699966430664,
2009-04-24,43.45000076293945,25.489999771118164,77.2300033569336,
2009-04-27,43.0,25.15999984741211,77.4000015258789,
2009-04-28,42.91999816894531,24.979999542236328,77.12000274658203,
2009-04-29,43.939998626708984,25.670000076293945,77.01000213623047,
2009-04-30,43.93000030517578,25.729999542236328,77.2300033569336,
2009-05-01,44.18000030517578,26.09000015258789,76.83000183105469,
2009-05-04,45.689998626708984,27.059999465942383,76.88999938964844,
2009-05-05,45.529998779296875,26.690000534057617,76.87999725341797,
2009-05-06,46.2400016784668,27.510000228881836,77.20999908447266,
2009-05-07,45.52000045776367,27.100000381469727,76.94000244140625,
2009-05-08,46.54999923706055,28.209999084472656,77.12999725341797,
2009-05-11,45.75,27.56999969482422,77.44999694824219,
2009-05-12,45.630001068115234,27.799999237060547,77.41999816894531,
2009-05-13,44.33000183105469,26.850000381469727,77.6500015258789,
2009-05-14,44.779998779296875,27.170000076293945,77.62000274658203,
2009-05-15,44.310001373291016,26.850000381469727,77.5999984741211,
2009-05-18,45.66999816894531,27.90999984741211,77.37000274658203,
2009-05-19,45.68000030517578,28.09000015258789,77.54000091552734,
2009-05-20,45.41999816894531,28.290000915527344,77.7699966430664,
2009-05-21,44.599998474121094,28.020000457763672,77.37000274658203,
2009-05-22,44.630001068115234,28.239999771118164,77.3499984741211,
2009-05-26,45.83000183105469,28.739999771118164,77.19000244140625,
2009-05-27,45.060001373291016,28.270000457763672,76.7300033569336,
2009-05-28,45.619998931884766,28.469999313354492,76.93000030517578,
2009-05-29,46.33000183105469,29.09000015258789,77.4800033569336,
2009-06-01,47.47999954223633,29.790000915527344,76.69000244140625,
2009-06-02,47.66999816894531,30.06999969482422,76.9800033569336,
2009-06-03,47.09000015258789,29.209999084472656,77.23999786376953,
2009-06-04,47.560001373291016,29.31999969482422,76.76000213623047,
2009-06-05,47.470001220703125,28.989999771118164,76.23999786376953,
2009-06-08,47.34000015258789,28.81999969482422,76.08000183105469,
2009-06-09,47.59000015258789,29.110000610351562,76.29000091552734,
2009-06-10,47.470001220703125,29.219999313354492,76.0999984741211,
2009-06-11,47.75,29.709999084472656,76.47000122070312,
2009-06-12,47.790000915527344,29.579999923706055,76.66999816894531,
2009-06-15,46.68000030517578,28.59000015258789,76.81999969482422,
2009-06-16,46.029998779296875,28.270000457763672,77.18000030517578,
2009-06-17,45.970001220703125,28.299999237060547,77.13999938964844,
2009-06-18,46.220001220703125,28.329999923706055,76.56999969482422,
2009-06-19,46.38999938964844,28.68000030517578,76.75,
2009-06-22,45.04999923706055,27.760000228881836,76.93000030517578,
2009-06-23,45.04999923706055,28.219999313354492,77.27999877929688,
2009-06-24,45.18000030517578,28.079999923706055,77.11000061035156,
2009-06-25,46.22999954223633,28.780000686645508,77.63999938964844,
2009-06-26,46.13999938964844,28.780000686645508,77.68000030517578,
2009-06-29,46.58000183105469,28.8799991607666,77.81999969482422,
2009-06-30,46.27000045776367,28.559999465942383,77.69000244140625,
2009-07-01,46.540000915527344,29.239999771118164,77.37999725341797,
2009-07-02,45.31999969482422,28.350000381469727,77.41000366210938,
2009-07-06,45.150001525878906,28.389999389648438,77.3499984741211,
2009-07-07,44.220001220703125,27.690000534057617,77.51000213623047,
2009-07-08,44.15999984741211,27.540000915527344,78.04000091552734,
2009-07-09,44.25,28.100000381469727,77.80999755859375,
2009-07-10,44.13999938964844,27.549999237060547,78.08999633789062,
2009-07-13,45.15999984741211,28.049999237060547,77.95999908447266,
2009-07-14,45.47999954223633,28.1200008392334,77.7300033569336,
2009-07-15,46.84000015258789,28.969999313354492,77.33999633789062,
2009-07-16,47.29999923706055,29.440000534057617,77.68000030517578,
2009-07-17,47.31999969482422,29.399999618530273,77.4800033569336,
2009-07-20,47.849998474121094,29.90999984741211,77.7300033569336,
2009-07-21,48.060001373291016,30.059999465942383,78.19999694824219,
2009-07-22,48.09000015258789,30.170000076293945,78.02999877929688,
2009-07-23,49.22999954223633,30.610000610351562,77.7699966430664,
2009-07-24,49.38999938964844,30.8700008392334,77.80000305175781,
2009-07-27,49.599998474121094,30.8799991607666,77.69999694824219,
2009-07-28,49.47999954223633,30.780000686645508,77.77999877929688,
2009-07-29,49.2400016784668,30.420000076293945,77.75,
2009-07-30,49.77000045776367,31.139999389648438,78.0999984741211,
2009-07-31,49.849998474121094,31.579999923706055,78.44000244140625,
2009-08-03,50.689998626708984,32.43000030517578,77.93000030517578,
2009-08-04,50.880001068115234,32.38999938964844,77.86000061035156,
2009-08-05,50.7599983215332,32.279998779296875,77.68000030517578,
2009-08-06,50.40999984741211,32.060001373291016,77.7300033569336,
2009-08-07,51.119998931884766,31.989999771118164,77.19000244140625,
2009-08-10,51.0,31.760000228881836,77.81999969482422,
2009-08-11,50.34000015258789,31.540000915527344,77.97000122070312,
2009-08-12,50.88999938964844,31.940000534057617,77.91999816894531,
2009-08-13,51.34000015258789,32.45000076293945,78.12000274658203,
2009-08-14,50.869998931884766,32.16999816894531,78.36000061035156,
2009-08-17,49.54999923706055,31.110000610351562,78.58000183105469,
2009-08-18,50.06999969482422,31.6299991607666,78.47000122070312,
2009-08-19,50.5,31.8799991607666,78.55999755859375,
2009-08-20,50.97999954223633,32.209999084472656,78.66999816894531,
2009-08-21,51.93000030517578,32.84000015258789,78.41999816894531,
2009-08-24,52.0,32.83000183105469,78.56999969482422,
2009-08-25,52.099998474121094,33.119998931884766,78.69999694824219,
2009-08-26,52.060001373291016,32.959999084472656,78.75,
2009-08-27,52.2400016784668,33.220001220703125,78.66000366210938,
2009-08-28,52.20000076293945,33.2400016784668,78.81999969482422,
2009-08-31,51.70000076293945,33.0,78.97000122070312,
2009-09-01,50.560001373291016,32.20000076293945,78.80000305175781,
2009-09-02,50.349998474121094,32.2400016784668,78.97000122070312,
2009-09-03,50.810001373291016,32.4900016784668,78.83000183105469,
2009-09-04,51.459999084472656,32.88999938964844,78.75,
2009-09-08,51.97999954223633,33.52000045776367,78.70999908447266,
2009-09-09,52.5,33.95000076293945,78.83999633789062,
2009-09-10,53.040000915527344,34.220001220703125,79.13999938964844,
2009-09-11,53.08000183105469,34.11000061035156,79.18000030517578,
2009-09-14,53.36000061035156,34.20000076293945,78.87999725341797,
2009-09-15,53.619998931884766,34.11000061035156,78.94000244140625,
2009-09-16,54.459999084472656,35.0099983215332,78.95999908447266,
2009-09-17,54.36000061035156,34.79999923706055,79.19000244140625,
2009-09-18,54.439998626708984,34.86000061035156,79.0999984741211,
2009-09-21,54.290000915527344,34.47999954223633,79.04000091552734,
2009-09-22,54.61000061035156,34.91999816894531,78.94000244140625,
2009-09-23,54.04999923706055,34.7400016784668,79.16999816894531,
2009-09-24,53.22999954223633,34.150001525878906,79.20999908447266,
2009-09-25,52.88999938964844,34.150001525878906,79.45999908447266,
2009-09-28,53.880001068115234,34.45000076293945,79.5,
2009-09-29,53.790000915527344,34.2599983215332,79.5,
2009-09-30,53.59000015258789,34.29999923706055,79.5,
2009-10-01,52.16999816894531,33.33000183105469,79.61000061035156,
2009-10-02,51.86000061035156,33.029998779296875,79.37000274658203,
2009-10-05,52.65999984741211,33.5,79.48999786376953,
2009-10-06,53.439998626708984,34.04999923706055,79.58000183105469,
2009-10-07,53.560001373291016,34.16999816894531,79.62000274658203,
2009-10-08,54.029998779296875,34.70000076293945,79.58999633789062,
2009-10-09,54.400001525878906,34.560001373291016,79.01000213623047,
2009-10-12,54.599998474121094,34.7599983215332,79.27999877929688,
2009-10-13,54.45000076293945,34.75,79.33999633789062,
2009-10-14,55.41999816894531,35.59000015258789,79.0,
2009-10-15,55.61000061035156,35.720001220703125,79.0199966430664,
2009-10-16,55.20000076293945,35.18000030517578,79.05000305175781,
2009-10-19,55.650001525878906,35.7599983215332,79.16000366210938,
2009-10-20,55.310001373291016,35.560001373291016,79.31999969482422,
2009-10-21,54.77000045776367,35.43000030517578,79.30999755859375,
2009-10-22,55.36000061035156,35.790000915527344,79.23999786376953,
2009-10-23,54.650001525878906,35.20000076293945,79.0,
2009-10-26,54.029998779296875,34.63999938964844,78.9000015258789,
2009-10-27,53.7400016784668,34.459999084472656,79.18000030517578,
2009-10-28,52.56999969482422,33.540000915527344,79.0999984741211,
2009-10-29,53.630001068115234,34.560001373291016,79.13999938964844,
2009-10-30,52.18000030517578,33.349998474121094,79.47000122070312,
2009-11-02,52.470001220703125,33.70000076293945,79.1500015258789,
2009-11-03,52.709999084472656,33.58000183105469,79.01000213623047,
2009-11-04,52.79999923706055,34.06999969482422,78.98999786376953,
2009-11-05,53.810001373291016,34.380001068115234,79.05999755859375,
2009-11-06,53.95000076293945,34.459999084472656,79.08000183105469,
2009-11-09,55.15999984741211,35.380001068115234,79.23999786376953,
2009-11-10,55.18000030517578,35.279998779296875,79.2699966430664,
2009-11-11,55.459999084472656,35.369998931884766,79.47000122070312,
2009-11-12,54.84000015258789,34.81999969482422,79.55999755859375,
2009-11-13,55.15999984741211,35.34000015258789,79.51000213623047,
2009-11-16,55.9900016784668,35.88999938964844,79.70999908447266,
2009-11-17,56.04999923706055,35.630001068115234,79.69000244140625,
2009-11-18,56.0099983215332,35.540000915527344,79.70999908447266,
2009-11-19,55.209999084472656,34.790000915527344,79.7699966430664,
2009-11-20,55.040000915527344,34.61000061035156,79.7300033569336,
2009-11-23,55.689998626708984,35.25,79.79000091552734,
2009-11-24,55.72999954223633,35.060001373291016,79.98999786376953,
2009-11-25,55.95000076293945,35.61000061035156,80.1500015258789,
2009-11-27,55.0099983215332,34.52000045776367,80.29000091552734,
2009-11-30,55.150001525878906,34.720001220703125,80.25,
2009-12-01,55.83000183105469,35.650001525878906,79.88999938964844,
2009-12-02,55.9900016784668,35.689998626708984,79.77999877929688,
2009-12-03,55.4900016784668,35.619998931884766,79.69999694824219,
2009-12-04,55.900001525878906,35.4900016784668,79.37000274658203,
2009-12-07,55.83000183105469,35.279998779296875,79.58000183105469,
2009-12-08,55.25,34.68000030517578,79.70999908447266,
2009-12-09,55.43000030517578,34.7599983215332,79.62999725341797,
2009-12-10,55.709999084472656,34.7400016784668,79.5199966430664,
2009-12-11,55.9900016784668,34.790000915527344,79.43000030517578,
2009-12-14,56.40999984741211,35.060001373291016,79.36000061035156,
2009-12-15,56.16999816894531,34.720001220703125,79.29000091552734,
2009-12-16,56.310001373291016,35.11000061035156,79.33000183105469,
2009-12-17,55.68000030517578,34.2599983215332,79.55000305175781,
2009-12-18,56.02000045776367,34.29999923706055,79.52999877929688,
2009-12-21,56.56999969482422,34.47999954223633,79.16000366210938,
2009-12-22,56.5,34.68000030517578,78.98999786376953,
2009-12-23,56.689998626708984,35.0099983215332,78.9800033569336,
2009-12-24,56.97999954223633,34.36000061035156,78.66000366210938,
2009-12-28,57.04999923706055,34.5,78.48999786376953,
2009-12-29,56.95000076293945,34.5099983215332,78.54000091552734,
2009-12-30,56.93000030517578,34.4900016784668,78.6500015258789,
2009-12-31,56.369998931884766,34.20000076293945,78.58999633789062,
2010-01-04,57.310001373291016,35.119998931884766,78.68000030517578,
2010-01-05,57.529998779296875,35.13999938964844,78.91000366210938,
2010-01-06,57.61000061035156,35.150001525878906,78.87999725341797,
2010-01-07,57.849998474121094,35.08000183105469,78.81999969482422,
2010-01-08,58.040000915527344,35.459999084472656,78.9000015258789,
2010-01-11,58.119998931884766,35.68000030517578,78.93000030517578,
2010-01-12,57.52000045776367,35.27000045776367,79.2300033569336,
2010-01-13,58.060001373291016,35.599998474121094,79.05000305175781,
2010-01-14,58.15999984741211,35.79999923706055,79.23999786376953,
2010-01-15,57.5,35.220001220703125,79.29000091552734,
2010-01-19,58.2599983215332,35.61000061035156,79.25,
2010-01-20,57.720001220703125,34.70000076293945,79.44000244140625,
